table_name,column_name
larvalswimspeed,autoctr
larvalswimspeed,StockCode
larvalswimspeed,SpecCode
larvalswimspeed,SpeedRefNo
larvalswimspeed,C_Code
larvalswimspeed,Larvallocality
larvalswimspeed,Length
larvalswimspeed,LengthType
larvalswimspeed,SpeedLS
larvalswimspeed,LengthTypeSpeed
larvalswimspeed,Speedms
larvalswimspeed,Mode
larvalswimspeed,DataRef
larvalswimspeed,Reliable
larvalswimspeed,Comment
larvalswimspeed,Entered
larvalswimspeed,DateEntered
larvalswimspeed,Modified
larvalswimspeed,DateModified
larvalswimspeed,Expert
larvalswimspeed,DateChecked
larvalswimspeed,SLa
larvalswimspeed,SLb
larvalswimspeed,TS
